"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IL2",-1.31091073450087,4.45065733594048,-2.41600162220305,0.0234652383903174,0.631837179438621,-3.26420541912497
"LINC00882",-1.27587658527927,5.43543217721141,-2.41540103392267,0.0234963439861765,0.631837179438621,-3.265198774032
"SLC5A12",-0.677363383969154,4.99927465716535,-2.41490446842525,0.0235220907231761,0.631837179438621,-3.26601997673588
"LINC00965",-0.947536921313135,6.84617394939649,-2.41395391342833,0.0235714491397526,0.632336433907019,-3.26759171464009
"MINCR",-0.672443981109597,6.55256988252026,-2.41133906741432,0.0237077198554138,0.634000999074418,-3.27191360707314
"SERPINB12",-1.10472345005927,5.93142367076184,-2.40795830553592,0.0238849808876295,0.634000999074418,-3.27749763246487
"C5orf47",-0.823122058374582,4.45358015695083,-2.405609618075,0.0240088452384215,0.634000999074418,-3.28137444954006
"DNAI2",-0.854331984239226,6.05347303227298,-2.40461648431649,0.0240613984387254,0.634000999074418,-3.28301312351189
"MAB21L3",1.34165064514108,4.30424093319465,2.40445931288775,0.0240697251024184,0.634000999074418,-3.28327242288021
"RGN",-1.16514090096382,8.72321226486909,-2.40244427127491,0.0241767136117685,0.634000999074418,-3.28659598821909
"IGLL3P",1.68439298162552,13.6765637009023,2.40125529543159,0.0242400472961669,0.634000999074418,-3.28855634110628
"PLA2G3",0.861970064962625,5.73159906509183,2.40060849550278,0.0242745647325197,0.634000999074418,-3.28962254431941
"LOC101927811",0.929606862583743,8.31187633071407,2.39913274235913,0.0243534898296592,0.634000999074418,-3.29205462612756
"BSN",-0.884632705099572,5.34838839709684,-2.39643058266276,0.0244986167321707,0.634000999074418,-3.29650572626935
"CADM4",-0.679012460154077,5.76923741002963,-2.39546474241131,0.0245506824881459,0.634000999074418,-3.29809602468098
"ZNF341",0.770589870762529,6.1265270491288,2.39446916448609,0.0246044578020586,0.634000999074418,-3.29973491754397
"VWA3A",0.660380588349073,6.14886376637329,2.39348202799384,0.0246578840702112,0.634000999074418,-3.30135954329727
"LOC100996681",-1.11363522828988,6.82869901197566,-2.39265618065749,0.0247026628914127,0.634000999074418,-3.3027184358723
"CYP2C18",0.625936914720493,12.1100144762634,2.39146024478873,0.0247676410596078,0.634000999074418,-3.30468583248249
"HSD3B7",1.10819828665779,7.1259121618648,2.38831389514676,0.0249393411767969,0.634000999074418,-3.30985919633261
"DUSP8",0.687467616403394,7.39291205986265,2.38717083123131,0.0250019899875644,0.634000999074418,-3.31173773795087
"GAGE12I",0.651372522500175,4.91789952012121,2.3846354018044,0.0251414677392017,0.634000999074418,-3.31590275152591
"REG3A",1.38113448070966,9.30076041079956,2.38401714389822,0.0251755872697991,0.634000999074418,-3.31691800709485
"LINC00518",-0.638023954579615,4.57072858660073,-2.38241835817706,0.0252640160858687,0.634000999074418,-3.31954273254159
"APELA",0.759128309681925,3.81386991107734,2.38217683507962,0.0252773995041515,0.634000999074418,-3.31993915584499
"ATP4A",-2.75034387190754,12.2162921386205,-2.38175303386562,0.0253008991634461,0.634000999074418,-3.32063470690282
"KCNN3",0.83060796329859,5.99321335046869,2.37940995997714,0.0254311844922646,0.634000999074418,-3.32447896532407
"PRR7-AS1",-1.30668239393206,6.10691143434664,-2.37910600206493,0.0254481309778221,0.634000999074418,-3.32497751190572
"FAM49A",0.781435837131225,7.21037258894651,2.37880047193176,0.0254651755690592,0.634000999074418,-3.32547860150394
"WASF3",-1.11483533263974,9.06109049296686,-2.37800373824031,0.0255096722273267,0.634000999074418,-3.32678512889537
"MUC15",-1.13364258296585,4.28296382031876,-2.37798476855951,0.0255107325317571,0.634000999074418,-3.32681623344381
"MT1E",-0.986334909127654,13.597405987078,-2.37774738437966,0.0255240044690771,0.634000999074418,-3.32720546013714
"KMO",0.589207040724525,6.95464683751158,2.3763299081296,0.0256033863396944,0.634000999074418,-3.32952917295439
"PNPLA1",-1.44291467277657,5.46373765999145,-2.37467069371304,0.0256965940021478,0.634000999074418,-3.33224819352646
"C11orf21",-0.61175940883066,7.20346363195155,-2.37438456056626,0.0257126992091757,0.634000999074418,-3.33271698421024
"VAT1L",1.07054585618007,7.62834399078724,2.37338356447707,0.0257691139157156,0.634000999074418,-3.33435673368277
"DLEU7",1.1548594432924,3.86378595731842,2.37247247303587,0.0258205604640002,0.634000999074418,-3.33584887322891
"CCNB3",0.729620901917612,6.95649608886723,2.37247131122247,0.0258206261281901,0.634000999074418,-3.33585077578401
"SFRP2",0.828932352876623,5.32903311439072,2.37245847952083,0.0258213513695507,0.634000999074418,-3.33587178860664
"NOMO1",0.600340527734268,8.73343010693977,2.37163126870705,0.0258681443810318,0.634000999074418,-3.33722627109843
"LINC00638",-1.06710152613291,6.36808914721201,-2.37030732546045,0.0259431981329382,0.634000999074418,-3.33939355846117
"TM7SF2",-0.781790565781263,8.70689876451506,-2.36858219025683,0.0260412951007828,0.634000999074418,-3.34221657918034
"CCL19",1.46104147923912,8.86144888554829,2.36709506586801,0.0261261309840671,0.634000999074418,-3.34464919438311
"VAMP1",0.620392469906886,7.2025128908028,2.36484974693307,0.0262547000072578,0.634000999074418,-3.34832043057293
"ABCA13",0.822532424154588,3.31361862571024,2.36403739936366,0.0263013585553603,0.634000999074418,-3.34964818812431
"LINC00354",-0.877902342448004,4.97970077297669,-2.36241112494426,0.0263949949487027,0.634000999074418,-3.35230551519655
"CDC42EP5",0.892274461097877,11.8757554020842,2.36021768785323,0.0265217712172172,0.634000999074418,-3.35588795709823
"C19orf81",-1.14065550510323,5.77158596996665,-2.36005563972958,0.0265311593849375,0.634000999074418,-3.35615254879038
"SHOC1",-1.08402334495154,5.86425455299253,-2.35806264362025,0.0266468719269093,0.634000999074418,-3.35940587105514
"MT2A",-1.05210738792092,13.8241174588136,-2.35732268774031,0.0266899510994348,0.634000999074418,-3.36061336465702
"KLK5",-0.843507315453359,7.23782748260262,-2.35602268343774,0.0267657901147251,0.634000999074418,-3.36273425373871
"KCNJ6",0.868513149741853,5.65788294132543,2.35505186476785,0.0268225540221494,0.634000999074418,-3.36431766359592
"PNLIPRP2",-1.78498426808287,7.53654221116093,-2.35311473315508,0.0269361482007149,0.634000999074418,-3.36747603440303
"ADA",-1.4287705252389,9.51022299419411,-2.35141814934454,0.0270359984713324,0.634000999074418,-3.37024100194264
"CNGA1",-0.742358614927328,7.65701095796961,-2.3510396865499,0.0270583186247518,0.634000999074418,-3.3708576390903
"F11",-0.844643947447326,4.4846983458831,-2.35068114986362,0.0270794791896868,0.634000999074418,-3.3714417584815
"ATP4B",-1.38630750152421,8.13243325074634,-2.35051254663808,0.0270894352646789,0.634000999074418,-3.37171642541547
"SLAMF7",1.01557577096348,9.20079760898262,2.35050694164528,0.0270897662988988,0.634000999074418,-3.37172555616568
"SIM2",-0.728806483229248,5.79261048627219,-2.3500886021168,0.0271144841436703,0.634000999074418,-3.37240701270502
"CDIP1",-0.681924630139392,8.17717965323616,-2.34775419228863,0.0272527938566868,0.634000999074418,-3.37620840301102
"TGIF2LY",-0.890348841156504,6.91523795145034,-2.34741895441773,0.0272727090906873,0.634000999074418,-3.37675413413847
"MT1HL1",-1.21529331116977,13.7385554640666,-2.34740251195567,0.0272736862189564,0.634000999074418,-3.37678089955961
"P2RX2",-0.690027196907907,6.43659138592899,-2.34182512914305,0.0276069899395791,0.634000999074418,-3.38585375884306
"RBPMS2",-1.86565831165178,7.44139954326798,-2.34157979062934,0.0276217366024888,0.634000999074418,-3.38625257549447
"KIAA1656",-0.733027546147586,5.95230104289213,-2.34129287150957,0.0276389917148573,0.634000999074418,-3.38671895451189
"HLA-DPB2",0.638335231402269,6.41698492775649,2.34125816549827,0.0276410795785479,0.634000999074418,-3.38677536596288
"CKM",-2.42313431886004,7.97569445586332,-2.34103018771561,0.0276547979830276,0.634000999074418,-3.38714591121157
"RPRM",-1.54127087719162,8.5268543394387,-2.34007477448322,0.027712357119461,0.634000999074418,-3.38869857558409
"INSC",0.612237742814041,7.94513833830043,2.33684201122273,0.0279079299317541,0.634000999074418,-3.39394954066069
"LINC01549",-0.782927166369138,6.59404261540428,-2.33523385200796,0.0280056885533781,0.634000999074418,-3.39656012784872
"GBP1P1",0.762019730017255,5.07256342470576,2.33514489497901,0.0280111053083882,0.634000999074418,-3.39670450534724
"GML",-0.927392170914529,6.32165972473185,-2.33498696233885,0.0280207244750373,0.634000999074418,-3.39696082272472
"ELOVL7",-1.1519408251785,8.03546901722882,-2.33380000797189,0.0280931147849473,0.634000999074418,-3.39888687846708
"KLHL25",0.979042513282502,6.38090867828953,2.33019354821166,0.0283141173602116,0.634000999074418,-3.40473560479987
"SLC7A11-AS1",-0.747299529883549,6.84303596991154,-2.32913357325559,0.0283793739113647,0.634000999074418,-3.40645362175118
"TPD52L1",-1.14389176895248,9.97555227952684,-2.32819447404098,0.0284373036995466,0.634000999074418,-3.40797534869222
"OCLM",-0.827763564713046,6.51728803511195,-2.3269856796694,0.0285120291941042,0.634000999074418,-3.40993357571997
"RAB27B",0.597614547479129,10.9773546618426,2.3266865002586,0.0285305516193499,0.634000999074418,-3.4104181515654
"BMPR1B",-1.2380558821186,6.8795368603895,-2.32666155492044,0.0285320965009573,0.634000999074418,-3.41045855349736
"ERVH48-1",-0.988606217518684,4.82746979204776,-2.32654526925244,0.0285392991599554,0.634000999074418,-3.41064688864661
"COBL",-0.954960801956043,8.76443690088607,-2.32636694726916,0.0285503475369951,0.634000999074418,-3.41093568674269
"SOX3",0.734733729981735,5.28278603863851,2.32573812552156,0.0285893389455926,0.634000999074418,-3.41195398226553
"LOC100130331",-1.37146667938077,5.21298025572169,-2.32525556743961,0.0286192939726879,0.634000999074418,-3.41273531572423
"TBL3",0.636546183265239,6.85766183260908,2.32472506016885,0.0286522585728438,0.634000999074418,-3.41359417883042
"KLHL30-AS1",0.812544154959852,6.03719451600563,2.32296534868853,0.0287618519542587,0.634000999074418,-3.41644225361827
"GBP5",0.798805515404897,7.38023441012186,2.32260444396202,0.028784376090794,0.634000999074418,-3.4170262212674
"BTBD17",-1.20415391081845,4.89958333691131,-2.3221890491044,0.0288103209203766,0.634000999074418,-3.41769829307575
"FAS",0.615697735276045,8.22822745167675,2.3216256877507,0.0288455416198137,0.634000999074418,-3.41860965120265
"OR5J2",-1.05064551154187,5.45642942157923,-2.32141131078512,0.0288589545507484,0.634000999074418,-3.41895641868919
"GAMT",-0.72789170472128,7.85641089727291,-2.31996501144579,0.0289495942279803,0.634000999074418,-3.42129541314173
"LRRC61",-0.763116352010972,7.81547140983827,-2.31864237630406,0.029032711466616,0.634000999074418,-3.42343368099651
"CHAC1",-1.09068704900377,8.0404533717549,-2.31855661812981,0.0290381082133648,0.634000999074418,-3.42357229967055
"IL33",-1.05498218330966,9.1579786406246,-2.31853107216189,0.0290397159937521,0.634000999074418,-3.42361359135313
"EPHA6",0.924616562877755,4.9908819456602,2.31803100873675,0.0290712047447194,0.634000999074418,-3.42442182511797
"AQP4-AS1",-0.799597379701219,5.12769884936574,-2.31688148051174,0.0291437082682831,0.634000999074418,-3.42627938409308
