"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"WDR34",48.0506260876334,73.6987187685142,6.44858193206866,3.40118407810273e-10,4.86314465360979e-09,12.7677353215598
"TGIF2",15.7440074975672,22.5283865364213,6.44841607517945,3.40454272237625e-10,4.86438071168527e-09,12.7667826845691
"TMPRSS11B",-90.2225698278788,11.3466552679422,-6.44782731676386,3.41649150281285e-10,4.87787948604385e-09,12.7634011744692
"ESF1",19.9368884608861,28.9669991658814,6.44741733193632,3.42483636237569e-10,4.88621679410483e-09,12.7610465893731
"RRP1B",17.6909806378814,29.0910752883549,6.44685745183488,3.43626447784469e-10,4.89893758124306e-09,12.7578313340966
"PMS1",4.34958686930609,8.02953807943652,6.44667963922452,3.4399017529576e-10,4.9005408245385e-09,12.756810246335
"BCL2L12",16.7536415549557,24.7743214660154,6.44646783659279,3.44423924134181e-10,4.90313853459046e-09,12.7555940005532
"RRN3",14.6442506567453,26.7537597567601,6.44603632979694,3.45309262524465e-10,4.91058574804169e-09,12.7531162346814
"CEP95",4.08798151638349,7.50623804434119,6.44596752860842,3.45450630483167e-10,4.91058574804169e-09,12.7527211819586
"EFCAB11",1.16185458725271,2.47312874023658,6.44533972206293,3.4674322748549e-10,4.92537011336453e-09,12.7491165066767
"TOMM34",60.4614253843683,79.2603259641173,6.44414220739052,3.49221960552259e-10,4.95696935709658e-09,12.7422415200347
"LRRC4",-3.51271614910142,2.17576166770658,-6.44232681709978,3.53012788036798e-10,5.00713338551395e-09,12.7318212340921
"YY1",16.2906679695899,43.4715449130071,6.44083247930261,3.56163444449395e-10,5.04710534488633e-09,12.7232455460684
"ZSCAN32",0.7577845494261,1.8039489960725,6.44074512965813,3.56348462283161e-10,5.04710534488633e-09,12.7227443143087
"FAM50A",28.7346568193619,59.2900344810954,6.44005919269233,3.57804643449077e-10,5.06405222147122e-09,12.7188084443288
"HNRNPK",94.3952565840642,236.614961865494,6.43960794775366,3.58765773651618e-10,5.07047628041772e-09,12.7162194080627
"PYCR2",18.0160040260627,36.0716027055584,6.43960197639714,3.58778509305053e-10,5.07047628041772e-09,12.716185148136
"PTBP3",46.2490556249963,74.4791064317417,6.43926821375236,3.59491060132083e-10,5.07686759287184e-09,12.7142702663446
"WDR36",9.48086547965739,16.1877578426247,6.43890368009015,3.60270888822588e-10,5.08419909168375e-09,12.7121789342759
"S100G",-40.4981425984139,4.84030999881604,-6.43872291342377,3.60658208632153e-10,5.08598484667598e-09,12.7111419099099
"UTP4",14.2161985574654,25.6590660624824,6.43853783202697,3.6105519623525e-10,5.08790425735265e-09,12.7100801569366
"CTPS1",10.995521401318,15.8951054722382,6.43830118833082,3.61563405547584e-10,5.09138707465309e-09,12.7087226431419
"SHTN1",9.05259978395287,13.7000205384645,6.43606669256034,3.66396841076279e-10,5.15246748640197e-09,12.6959063626904
"NOLC1",62.397763831842,92.4808285972043,6.43605174310073,3.66429390536817e-10,5.15246748640197e-09,12.6958206298729
"LY75",5.85134842161281,8.45402881159048,6.4341474112786,3.705989496043e-10,5.20734244534053e-09,12.6849008902479
"TMEM63A",30.9530473581338,41.7292779523782,6.4336080252365,3.71788368926182e-10,5.22029413906935e-09,12.6818084365176
"PROSER1",26.6666165907461,36.4294269567804,6.43199746330304,3.75362183807434e-10,5.26668249697582e-09,12.6725758641378
"WASHC4",10.8632928744944,21.1525222695066,6.43128697331558,3.76949433256879e-10,5.28515082444925e-09,12.6685035582748
"GFRA1",-11.8771535865487,5.73923886625256,-6.43044540674569,3.78838022065009e-10,5.30781461518238e-09,12.6636804295004
"IKBIP",6.09090374418709,9.34220454081471,6.42833231339448,3.83621057948094e-10,5.37097020327472e-09,12.651572245769
"METTL1",10.6029275105731,14.9643048755017,6.42759106962223,3.85312861761268e-10,5.38557181686385e-09,12.6473256198304
"RAD21",66.5318604000683,106.594279614954,6.42751853834046,3.854787982975e-10,5.38557181686385e-09,12.6469101052761
"NRAS",28.1217979383052,46.8678447901123,6.42751259482602,3.8549239893052e-10,5.38557181686385e-09,12.6468760564548
"NAA15",11.1021101601678,18.4486266816988,6.42669362650211,3.87370960222496e-10,5.40794261790934e-09,12.6421846452809
"ATG4B",7.6074156078438,18.5834636354188,6.42607973989007,3.88784982216749e-10,5.42380079268473e-09,12.6386683470665
"MYO19",7.68260917130311,11.9085274023544,6.42579156624498,3.89450502724069e-10,5.429201683079e-09,12.6370178022043
"MLEC",94.7025060479206,134.237137238694,6.42323977974322,3.9539263049315e-10,5.50810176607707e-09,12.6224047690956
"RNASEH2A",21.3873337351455,30.5104006333556,6.42247866031717,3.97182123495309e-10,5.52254356371348e-09,12.6180470529204
"SLBP",46.5424775624286,79.0193402980051,6.42240751049171,3.97349811283445e-10,5.52254356371348e-09,12.6176397126163
"ZNF22",8.54267815125915,16.0401774709298,6.42238002167052,3.97414616242269e-10,5.52254356371348e-09,12.617482337167
"SDHAF2",5.93843713447792,16.0134481911831,6.42231753247282,3.97561973206877e-10,5.52254356371348e-09,12.6171245840938
"SMTN",-119.188041306912,59.2212572907795,-6.42142661231628,3.99668701737317e-10,5.54757731830984e-09,12.6120243357
"SAAL1",5.67832687616581,9.68493808899449,6.42131515868186,3.99933021050281e-10,5.54757731830984e-09,12.6113863373361
"DROSHA",11.943707461659,21.6424746818153,6.42086336569696,4.0100623234312e-10,5.55851069608235e-09,12.6088002122904
"CDK13",11.3277968205644,22.4013460814044,6.41950114144458,4.04259239141411e-10,5.59674856679702e-09,12.6010035381169
"CDC27",12.8396646951848,25.1867840576229,6.4194679783417,4.04338754582218e-10,5.59674856679702e-09,12.6008137460579
"SNRPD3",37.7003059373769,84.6775803260708,6.41776800536374,4.08435388537185e-10,5.64944353378775e-09,12.5910858747446
"ANP32A",13.6455841084031,31.1136520359398,6.41751348242659,4.09052234231775e-10,5.65396578612495e-09,12.5896295788619
"ZNF107",4.2953728557919,6.17381398548988,6.41722420075187,4.09754427493923e-10,5.65966048117137e-09,12.587974461322
"WDHD1",5.52161118592742,6.74200207364332,6.4160250399672,4.12677851390028e-10,5.69600575772096e-09,12.5811141332668
"ZNHIT6",4.07911592850295,9.18795512235191,6.4156870554721,4.13505506597609e-10,5.69947236028596e-09,12.5791807299387
"ABL2",5.36179641913887,8.82155934465213,6.41568380287005,4.1351347945468e-10,5.69947236028596e-09,12.5791621241819
"UFM1",23.6987922957675,45.8435446136174,6.41540017057703,4.14209305442239e-10,5.70503113279661e-09,12.577539700471
"QSOX2",13.9721189473216,18.1851750758487,6.41328643307155,4.19431131516797e-10,5.77287604655758e-09,12.5654505863467
"SMARCAL1",4.8597149034545,11.6858573729236,6.41297973917908,4.20194134524268e-10,5.77929915770578e-09,12.5636967756122
