"","dynamicColors","mergedColors"
"TNFSF9","grey","grey"
"CD70","red","purple"
"TNFSF14","red","purple"
"C3","red","purple"
"GPR108","black","lightyellow"
"TRIP10","grey","grey"
"SH2D3A","grey","grey"
"VAV1","red","purple"
"ADGRE1","purple","purple"
"ZNF557","blue","lightcyan"
"INSR","blue","lightcyan"
"AC119396.1","brown","greenyellow"
"ARHGEF18","turquoise","lightcyan"
"PEX11G","grey","grey"
"TEX45","grey","grey"
"ZNF358","brown","greenyellow"
"MCOLN1","purple","purple"
"PNPLA6","turquoise","lightcyan"
"CAMSAP3","black","lightyellow"
"XAB2","black","lightyellow"
"PET100","midnightblue","midnightblue"
"PCP2","grey","grey"
"STXBP2","brown","greenyellow"
"RETN","grey","grey"
"MCEMP1","purple","purple"
"FCER2","red","purple"
"CD209","purple","purple"
"EVI5L","turquoise","lightcyan"
"PRR36","grey","grey"
"LRRC8E","turquoise","lightcyan"
"MAP2K7","turquoise","lightcyan"
"TGFBR3L","grey","grey"
"SNAPC2","pink","greenyellow"
"CTXN1","brown","greenyellow"
"TIMM44","black","lightyellow"
"ELAVL1","yellow","lightyellow"
"CCL25","grey","grey"
"CERS4","brown","greenyellow"
"CD320","yellow","lightyellow"
"NDUFA7","midnightblue","midnightblue"
"RPS28","midnightblue","midnightblue"
"KANK3","greenyellow","greenyellow"
"ANGPTL4","grey","grey"
"RAB11B","black","lightyellow"
"HNRNPM","black","lightyellow"
"PRAM1","purple","purple"
"ZNF414","black","lightyellow"
"MYO1F","purple","purple"
"ADAMTS10","pink","greenyellow"
"ZNF558","blue","lightcyan"
"ZNF317","turquoise","lightcyan"
"ZNF699","blue","lightcyan"
"ZNF559","blue","lightcyan"
"ZNF266","tan","tan"
"ZNF426","blue","lightcyan"
"ZNF121","tan","tan"
"ZNF561","blue","lightcyan"
"ZNF562","blue","lightcyan"
"ZNF846","brown","greenyellow"
"FBXL12","turquoise","lightcyan"
"UBL5","midnightblue","midnightblue"
"PIN1","black","lightyellow"
"OLFM2","pink","greenyellow"
"COL5A3","greenyellow","greenyellow"
"SHFL","royalblue","royalblue"
"ANGPTL6","red","purple"
"PPAN","black","lightyellow"
"P2RY11","black","lightyellow"
"EIF3G","black","lightyellow"
"DNMT1","black","lightyellow"
"S1PR2","red","purple"
"MRPL4","black","lightyellow"
"ICAM1","purple","purple"
"ICAM5","grey","grey"
"FDX2","midnightblue","midnightblue"
"RAVER1","black","lightyellow"
"ICAM3","red","purple"
"TYK2","turquoise","lightcyan"
"CDC37","black","lightyellow"
"PDE4A","pink","greenyellow"
"KEAP1","black","lightyellow"
"S1PR5","grey","grey"
"ATG4D","black","lightyellow"
"KRI1","black","lightyellow"
"CDKN2D","grey","grey"
"AP1M2","brown","greenyellow"
